iter	Passed	Remaining
0	9	4659
1	18	4572
2	27	4617
3	36	4571
4	47	4673
5	57	4720
6	67	4760
7	76	4715
8	85	4652
9	95	4668
10	105	4679
11	114	4650
12	123	4617
13	132	4607
14	142	4617
15	151	4569
16	160	4571
17	170	4573
18	180	4565
19	191	4587
20	199	4540
21	207	4503
22	216	4494
23	224	4459
24	234	4456
25	243	4438
26	253	4438
27	263	4445
28	273	4444
29	283	4435
30	293	4433
31	302	4430
32	313	4434
33	323	4433
34	332	4422
35	342	4417
36	352	4412
37	363	4414
38	373	4409
39	382	4398
40	392	4392
41	402	4385
42	412	4387
43	422	4381
44	432	4369
45	442	4365
46	452	4362
47	463	4362
48	472	4352
49	481	4336
50	492	4331
51	502	4325
52	512	4321
53	522	4312
54	531	4302
55	541	4293
56	550	4278
57	560	4274
58	571	4270
59	581	4260
60	591	4253
61	601	4246
62	611	4242
63	621	4233
64	630	4222
65	640	4213
66	649	4197
67	660	4193
68	670	4187
69	680	4178
70	690	4169
71	699	4158
72	709	4151
73	719	4143
74	729	4133
75	739	4125
76	749	4115
77	759	4108
78	770	4103
79	779	4093
80	789	4084
81	799	4077
82	810	4074
83	820	4063
84	829	4051
85	838	4037
86	846	4018
87	857	4014
88	867	4006
89	878	3999
90	888	3992
91	898	3982
92	908	3974
93	918	3965
94	927	3955
95	937	3944
96	947	3935
97	957	3927
98	967	3920
99	977	3910
100	986	3898
101	996	3888
102	1006	3879
103	1016	3872
104	1026	3863
105	1036	3852
106	1045	3839
107	1054	3828
108	1065	3821
109	1075	3814
110	1085	3803
111	1095	3793
112	1104	3782
113	1115	3775
114	1125	3767
115	1135	3758
116	1144	3746
117	1155	3741
118	1166	3733
119	1176	3724
120	1185	3714
121	1234	3823
122	1244	3814
123	1257	3811
124	1266	3800
125	1276	3788
126	1284	3772
127	1294	3761
128	1304	3751
129	1315	3743
130	1324	3731
131	1334	3720
132	1343	3707
133	1353	3697
134	1364	3689
135	1374	3678
136	1382	3662
137	1389	3644
138	1398	3633
139	1406	3615
140	1413	3598
141	1421	3583
142	1429	3568
143	1437	3553
144	1445	3538
145	1454	3526
146	1462	3511
147	1470	3497
148	1478	3482
149	1487	3470
150	1495	3455
151	1503	3442
152	1511	3428
153	1520	3416
154	1527	3400
155	1536	3387
156	1544	3373
157	1552	3360
158	1560	3347
159	1569	3334
160	1577	3320
161	1586	3309
162	1593	3295
163	1602	3282
164	1610	3269
165	1618	3257
166	1626	3243
167	1635	3231
168	1643	3218
169	1651	3206
170	1659	3193
171	1668	3181
172	1676	3168
173	1684	3156
174	1692	3144
175	1701	3131
176	1708	3118
177	1717	3106
178	1725	3094
179	1733	3082
180	1741	3069
181	1750	3057
182	1758	3045
183	1766	3033
184	1774	3022
185	1783	3010
186	1791	2997
187	1799	2986
188	1807	2974
189	1815	2961
190	1823	2950
191	1831	2938
192	1840	2927
193	1848	2916
194	1856	2904
195	1865	2893
196	1873	2881
197	1882	2870
198	1890	2859
199	1898	2847
200	1906	2836
201	1915	2825
202	1923	2813
203	1931	2802
204	1939	2791
205	1948	2780
206	1956	2769
207	1965	2758
208	1973	2747
209	1981	2736
210	1989	2724
211	1997	2714
212	2005	2702
213	2014	2691
214	2022	2680
215	2030	2669
216	2038	2659
217	2047	2648
218	2055	2637
219	2063	2626
220	2072	2615
221	2080	2605
222	2088	2594
223	2096	2583
224	2104	2572
225	2113	2561
226	2121	2550
227	2129	2540
228	2137	2529
229	2145	2519
230	2154	2508
231	2162	2497
232	2170	2487
233	2178	2476
234	2187	2466
235	2195	2456
236	2203	2445
237	2211	2434
238	2220	2424
239	2228	2414
240	2236	2403
241	2245	2393
242	2253	2383
243	2261	2372
244	2271	2363
245	2279	2353
246	2286	2342
247	2295	2332
248	2303	2322
249	2311	2311
250	2319	2301
251	2327	2290
252	2335	2280
253	2344	2270
254	2352	2260
255	2360	2250
256	2368	2239
257	2377	2229
258	2385	2219
259	2393	2209
260	2401	2199
261	2410	2189
