iter	Passed	Remaining
0	187	175970
1	410	192144
2	605	188676
3	776	181405
4	948	177041
5	1127	175122
6	1287	171174
7	1434	166709
8	1596	164820
9	1769	164184
10	1928	162549
11	2098	161953
12	2256	160553
13	2403	158635
14	2569	158111
15	2721	156833
16	2922	158337
17	3115	159244
18	3325	160863
19	3526	161882
20	3703	161713
21	3844	160062
22	4042	160806
23	4217	160634
24	4397	160598
25	4579	160648
26	4729	159577
27	4902	159343
28	5092	159625
29	5274	159628
30	5423	158670
31	5601	158584
32	5802	159131
33	5975	158882
34	6164	159037
35	6341	158890
36	6497	158212
37	6662	157787
38	6827	157371
39	7022	157665
40	7179	157065
41	7352	156847
42	7503	156170
43	7669	155824
44	7865	156086
45	8028	155680
46	8202	155506
47	8352	154865
48	8543	154998
49	8724	154942
50	8892	154654
51	9067	154494
52	9236	154233
53	9416	154144
54	9577	153764
55	9732	153288
56	9905	153094
57	10079	152925
58	10250	152719
59	10409	152327
60	10582	152144
61	10747	151849
62	10927	151776
63	11114	151787
64	11264	151294
65	11443	151193
66	11585	150610
67	11727	150040
68	11879	149613
69	12059	149539
70	12214	149153
71	12400	149150
72	12552	148742
73	12727	148603
74	12874	148147
75	13063	148170
76	13213	147752
77	13379	147515
78	13553	147372
79	13725	147201
80	13876	146813
81	14039	146556
82	14221	146495
83	14403	146440
84	14590	146424
85	14771	146338
86	14938	146121
87	15120	146053
88	15308	146028
89	15454	145616
90	15602	145218
91	15761	144937
92	15937	144805
93	16110	144651
94	16288	144541
95	16450	144285
96	16602	143948
97	16761	143671
98	16941	143578
99	17148	143703
100	17297	143342
101	17482	143288
102	17644	143039
103	17814	142859
104	17992	142736
105	18177	142673
106	18331	142369
107	18518	142315
108	18667	141978
109	18863	141992
110	19046	141907
111	19202	141621
112	19386	141538
113	19566	141431
114	19716	141102
115	19869	140799
116	20047	140672
117	20222	140530
118	20386	140308
119	20571	140231
120	20722	139919
121	20929	139990
122	21131	140019
123	21333	140043
124	21553	140182
125	21754	140194
126	21960	140236
127	22150	140172
128	22331	140049
129	22542	140111
130	22731	140030
131	22899	139827
132	23079	139693
133	23260	139562
134	23417	139290
135	23561	138942
136	23733	138763
137	23897	138536
138	24075	138389
139	24236	138145
140	24384	137834
141	24558	137664
142	24724	137456
143	24905	137325
144	25085	137190
145	25269	137079
146	25457	136987
147	25629	136806
148	25796	136600
149	25952	136339
150	26113	136099
151	26276	135878
152	26439	135653
153	26598	135411
154	26760	135184
155	26906	134877
156	27078	134700
157	27251	134533
158	27432	134402
159	27609	134252
160	27798	134158
161	27980	134031
162	28151	133849
163	28315	133636
164	28464	133349
165	28631	133151
166	28782	132882
167	28955	132714
168	29097	132404
169	29237	132085
170	29381	131787
171	29520	131469
172	29659	131151
173	29798	130837
174	29934	130515
175	30072	130199
176	30213	129903
