id,highavse,lowavse,truedcr,predicted_lq
3033793,1.0,1.0,1.0,1.0
3033794,1.0,1.0,1.0,1.0
3033795,1.0,1.0,1.0,1.0
3033796,1.0,1.0,1.0,1.0
3033797,1.0,1.0,1.0,1.0
3033801,1.0,1.0,1.0,1.0
3033802,1.0,1.0,1.0,1.0
3033805,1.0,1.0,1.0,1.0
3033807,1.0,1.0,1.0,1.0
3033808,1.0,1.0,1.0,1.0
3033810,1.0,1.0,1.0,1.0
3033811,1.0,1.0,1.0,1.0
3033812,1.0,1.0,1.0,1.0
3033813,1.0,1.0,1.0,1.0
3033814,1.0,1.0,1.0,1.0
3033816,1.0,1.0,1.0,1.0
3033818,1.0,1.0,1.0,1.0
3033821,1.0,1.0,1.0,1.0
3033824,1.0,1.0,1.0,1.0
3033825,1.0,1.0,1.0,1.0
3033826,1.0,1.0,1.0,1.0
3033832,1.0,1.0,1.0,1.0
3033833,1.0,1.0,1.0,1.0
3033834,1.0,1.0,1.0,1.0
3033835,1.0,1.0,1.0,1.0
3033837,1.0,1.0,1.0,1.0
3033838,1.0,1.0,1.0,1.0
3033840,1.0,1.0,1.0,1.0
3033842,1.0,1.0,1.0,1.0
3033843,1.0,1.0,1.0,1.0
3033844,1.0,1.0,1.0,1.0
3033845,1.0,1.0,1.0,1.0
3033846,1.0,1.0,1.0,1.0
3033848,1.0,1.0,1.0,1.0
3033849,1.0,1.0,1.0,1.0
3033850,1.0,1.0,1.0,1.0
3033851,1.0,1.0,1.0,1.0
3033852,1.0,1.0,1.0,1.0
3033853,1.0,1.0,1.0,1.0
3033855,1.0,1.0,1.0,1.0
3033856,1.0,1.0,1.0,1.0
3033857,1.0,1.0,1.0,1.0
3033859,1.0,1.0,1.0,1.0
3033860,1.0,1.0,1.0,1.0
3033864,1.0,1.0,1.0,1.0
3033865,1.0,1.0,1.0,1.0
3033867,1.0,1.0,1.0,1.0
3033868,1.0,1.0,1.0,1.0
3033871,1.0,1.0,1.0,1.0
3033872,1.0,1.0,1.0,1.0
3033873,1.0,1.0,1.0,1.0
3033875,1.0,1.0,1.0,1.0
3033876,1.0,1.0,1.0,1.0
3033877,1.0,1.0,1.0,1.0
3033879,1.0,1.0,1.0,1.0
3033880,1.0,1.0,1.0,1.0
3033881,1.0,1.0,1.0,1.0
3033882,1.0,1.0,1.0,1.0
3033883,1.0,1.0,1.0,1.0
3033884,1.0,1.0,1.0,1.0
3033886,1.0,1.0,1.0,1.0
3033887,1.0,1.0,1.0,1.0
3033890,1.0,1.0,1.0,1.0
3033892,1.0,1.0,1.0,1.0
3033893,1.0,1.0,1.0,1.0
3033894,1.0,1.0,1.0,1.0
3033896,1.0,1.0,1.0,1.0
3033898,1.0,1.0,1.0,1.0
3033901,1.0,1.0,1.0,1.0
3033902,1.0,1.0,1.0,1.0
3033903,1.0,1.0,1.0,1.0
3033904,1.0,1.0,1.0,1.0
3033905,1.0,1.0,1.0,1.0
3033907,1.0,1.0,1.0,1.0
3033908,1.0,1.0,1.0,1.0
3033909,1.0,1.0,1.0,1.0
3033912,1.0,1.0,1.0,1.0
3033913,1.0,1.0,1.0,1.0
3033915,1.0,1.0,1.0,1.0
3033917,1.0,1.0,1.0,1.0
3033920,1.0,1.0,1.0,1.0
3033921,1.0,1.0,1.0,1.0
3033922,1.0,1.0,1.0,1.0
