iter	Logloss
0	0.5739422649
1	0.4918094614
2	0.4312341463
3	0.3875426595
4	0.3538263018
5	0.3266078882
6	0.305227336
7	0.2891053096
8	0.2752751001
9	0.265767181
10	0.2573258763
11	0.250231442
12	0.2435205869
13	0.2381130714
14	0.2314067008
15	0.2271105967
16	0.223578854
17	0.2198854982
18	0.2171039791
19	0.2146633998
20	0.2126490356
21	0.2106239108
22	0.2082241217
23	0.2053516689
24	0.2029758688
25	0.200698536
26	0.199203914
27	0.1975458703
28	0.196026034
29	0.1946636273
30	0.1933147936
31	0.1910853342
32	0.1897283699
33	0.1882683194
34	0.1865328917
35	0.1846402379
36	0.1836860914
37	0.1824931794
38	0.1816309116
39	0.180837637
40	0.1796487494
41	0.1784013432
42	0.1775409779
43	0.1768937035
44	0.1756673054
45	0.1746569112
46	0.1740179715
47	0.1731902507
48	0.1720070042
49	0.1713364257
50	0.1705265343
51	0.1692945634
52	0.1683646426
53	0.1675124941
54	0.1667103135
55	0.1659674074
56	0.1655021891
57	0.1648876285
58	0.1640371829
59	0.1633562253
60	0.1625135293
61	0.1619248251
62	0.1611771428
63	0.160772773
64	0.159984527
65	0.1593175482
66	0.1587815519
67	0.1578747504
68	0.1571518879
69	0.1561908029
70	0.1555601677
71	0.1548204953
72	0.1541439633
73	0.1535038364
74	0.1530978213
75	0.152443717
76	0.1519273161
77	0.1512571384
78	0.150686118
79	0.1500233853
80	0.1495619194
81	0.148994686
82	0.1484230124
83	0.1481350395
84	0.1474523267
85	0.1469123193
86	0.1465690874
87	0.1457693049
88	0.1454062529
89	0.1448585821
90	0.1443569088
91	0.1438391692
92	0.1433999646
93	0.1431155685
94	0.1427009643
95	0.142247205
96	0.1417666586
97	0.1413616482
98	0.1409514947
99	0.1406295037
100	0.1402848165
101	0.1399028192
102	0.139538073
103	0.139175845
104	0.1388071182
105	0.1383053069
106	0.1380544132
107	0.1378820161
108	0.1376934331
109	0.1370486221
110	0.136698614
111	0.1361305675
112	0.1352692374
113	0.1347186854
114	0.1342393563
115	0.1338297839
116	0.1334382087
117	0.1328853134
118	0.1324625227
119	0.1322897517
120	0.1320595827
121	0.1315439781
122	0.131082749
123	0.1306374217
124	0.1302690627
125	0.1298617436
126	0.1294342112
127	0.1291456854
128	0.128507526
129	0.1282002723
130	0.1278822224
131	0.1268502507
132	0.1265004108
133	0.126244584
134	0.1258704109
135	0.1255588166
136	0.1253318726
137	0.1249902308
138	0.1247638932
139	0.124490194
140	0.124086909
141	0.1236990572
142	0.1234368375
143	0.1230906654
144	0.1227987698
145	0.1225734693
146	0.1222656243
147	0.1219922813
148	0.1216969784
149	0.1215788153
150	0.1212954025
151	0.121040242
152	0.1208468485
153	0.1205402705
154	0.1202767175
155	0.1199631506
156	0.1195169287
157	0.1192566605
158	0.1190527902
159	0.1187752943
160	0.1185725836
161	0.1183153609
162	0.1180864622
163	0.1177480081
164	0.1175408107
165	0.1173350567
166	0.1171443459
167	0.1168954449
168	0.1165532189
169	0.1163490205
170	0.1161445959
171	0.1157908563
172	0.1155901193
173	0.115283339
174	0.1151231417
175	0.1149332918
176	0.1147794584
177	0.1145376118
178	0.1143038123
179	0.114056716
180	0.113873177
181	0.1136944974
182	0.1135707704
183	0.1133525015
184	0.113157668
185	0.1128991945
186	0.1126484648
187	0.1125315842
188	0.1122998151
189	0.1120888782
190	0.1118148251
191	0.1116663497
192	0.1115224367
193	0.1113765318
194	0.1111330327
195	0.1108141641
196	0.110524758
197	0.1103450967
198	0.1102032799
199	0.1100129373
200	0.1097549755
201	0.1096396228
202	0.1094333731
203	0.1092519743
204	0.1089829168
205	0.1088059236
206	0.1086413146
207	0.1085319024
208	0.108329604
209	0.1082109728
210	0.1080620975
211	0.1078555027
212	0.1076557097
213	0.10733619
214	0.1071079606
215	0.1069903641
216	0.1067687617
217	0.1066313484
218	0.1064900935
219	0.1062749357
220	0.1061424106
221	0.1059353398
222	0.1057735577
223	0.1056091694
224	0.1054724127
225	0.105338413
226	0.1050922322
227	0.1049404766
228	0.1047776672
229	0.1046486207
230	0.1045799704
231	0.1045061519
232	0.1043619735
233	0.1042273559
234	0.1040449855
235	0.1039048992
236	0.1037884337
237	0.1036736152
238	0.103509986
239	0.1033429902
240	0.1031042849
241	0.1025212469
242	0.1024072955
243	0.101988553
244	0.1018868681
245	0.101779837
246	0.101606122
247	0.1014720561
248	0.10128876
249	0.1009583795
250	0.1007598454
251	0.1006479472
252	0.1003947683
253	0.1002875058
254	0.1001592367
255	0.1000844718
256	0.09985790616
257	0.0997572748
258	0.09956808251
259	0.09941687397
260	0.09933642705
261	0.09911709631
262	0.09901272494
263	0.09893280825
264	0.09881831022
265	0.09867118546
266	0.09857420007
267	0.0984175267
268	0.09827440412
269	0.09813370716
270	0.0980383139
271	0.09790748173
272	0.09784566644
273	0.09777503846
274	0.09771256159
275	0.09762259942
276	0.09746149063
277	0.09736724595
278	0.0971771422
279	0.09708044085
280	0.09694874846
281	0.0968396941
282	0.09673047065
283	0.09663775978
284	0.09645363264
285	0.09635268475
286	0.09619228834
287	0.09603156128
288	0.09595531242
289	0.09587773913
290	0.09571494475
291	0.09560587384
292	0.09541836077
293	0.09530643124
294	0.09518265759
295	0.09503358812
296	0.09487455847
297	0.09480992278
298	0.09469914243
299	0.09458764076
300	0.09446855618
301	0.09433412794
302	0.09419157879
303	0.09402982697
304	0.09391401363
305	0.09377779836
306	0.09365440746
307	0.09356193187
308	0.09348192381
309	0.09338084669
310	0.09322588388
311	0.09308349711
312	0.09297452452
313	0.09288262324
314	0.09282142088
315	0.09271486559
316	0.09258117297
317	0.09247284193
318	0.09234851881
319	0.09223520398
320	0.09209256921
321	0.0919964786
322	0.09190678661
323	0.09174238582
324	0.09166773931
325	0.09154514894
326	0.09147372561
327	0.09137910582
328	0.09128241427
329	0.09120926262
330	0.09111613461
331	0.09106832652
332	0.09099229145
333	0.09084637458
334	0.09077062321
335	0.09069792058
336	0.09058043137
337	0.09049345172
338	0.09041502156
339	0.09025226132
340	0.09016369284
341	0.09002118377
342	0.08995772033
343	0.0898797366
344	0.08982474139
345	0.08975349654
346	0.08965779583
347	0.08955361297
348	0.08947151255
349	0.08939123864
350	0.08928666401
351	0.08924084464
352	0.08909722051
353	0.08897136062
354	0.08884108054
355	0.088775789
356	0.08866994635
357	0.08859554051
358	0.08852001308
359	0.08840693603
360	0.08831514287
361	0.08824101417
362	0.08815374715
363	0.08805358188
364	0.08799680014
365	0.08790771855
366	0.08781410351
367	0.08767619013
368	0.08759640852
369	0.08751646592
370	0.08743934452
371	0.0872858104
372	0.08724988277
373	0.0871567178
374	0.08711765802
375	0.08703940338
376	0.08695765565
377	0.08683134056
378	0.08673191529
379	0.08662615539
380	0.08655259113
381	0.08648753486
382	0.0863771457
383	0.08625300766
384	0.08619703433
385	0.08612484265
386	0.08608772894
387	0.08599573982
388	0.08591669131
389	0.08585068648
390	0.08578678057
391	0.08568999805
392	0.08563320197
393	0.08557308505
394	0.08546416202
395	0.08533460768
396	0.08526832273
397	0.08519119007
398	0.08509896577
399	0.08501155493
400	0.08493460904
401	0.08488925326
402	0.08479068339
403	0.08475736938
404	0.0846284505
405	0.0845574077
406	0.08443459661
407	0.08429031112
408	0.08423970294
409	0.08419499862
410	0.08415600836
411	0.08404436027
412	0.08397529409
413	0.08391026874
414	0.0838387471
415	0.08377331866
416	0.08369071733
417	0.0835881092
