iter	Passed	Remaining
0	279	139704
1	554	138006
2	815	135068
3	1075	133422
4	1339	132597
5	1600	131740
6	1864	131316
7	2122	130519
8	2386	130187
9	2649	129806
10	2914	129577
11	3168	128845
12	3438	128806
13	3695	128288
14	3959	128021
15	4191	126805
16	4438	126116
17	4700	125858
18	4977	126006
19	5239	125750
20	5498	125427
21	5756	125063
22	6017	124801
23	6256	124086
24	6517	123835
25	6749	123050
26	7059	123670
27	7304	123129
28	7566	122893
29	7808	122329
30	8056	121892
31	8333	121873
32	8594	121619
33	8835	121102
34	9097	120873
35	9361	120654
36	9606	120205
37	9867	119971
38	10120	119633
39	10360	119140
40	10611	118799
41	10881	118656
42	11116	118144
43	11344	117565
44	11602	117310
45	11858	117038
46	12103	116653
47	12352	116321
48	12595	115932
49	12837	115536
50	13096	115299
51	13370	115193
52	13626	114929
53	13892	114739
54	14150	114494
55	14405	114214
56	14648	113843
57	14911	113634
58	15196	113584
59	15474	113477
60	15735	113245
61	16001	113045
62	16267	112837
63	16495	112374
64	16761	112171
65	17018	111911
66	17272	111625
67	17531	111378
68	17776	111041
69	18045	110853
70	18306	110613
71	18561	110338
72	18820	110086
73	19080	109840
74	19315	109452
75	19577	109219
76	19839	108985
77	20098	108735
78	20362	108513
79	20635	108337
80	20898	108103
81	21173	107931
82	21435	107692
83	21651	107227
84	21910	106973
85	22173	106743
86	22423	106448
87	22676	106168
88	22931	105896
89	23187	105629
90	23442	105364
91	23707	105138
92	23968	104895
93	24250	104741
94	24512	104500
95	24769	104238
96	25040	104033
97	25286	103727
98	25536	103435
99	25785	103141
100	26033	102843
101	26293	102595
102	26550	102336
103	26813	102095
104	27072	101842
105	27347	101650
106	27601	101376
107	27843	101063
108	28097	100790
109	28336	100466
110	28601	100232
111	28831	99880
112	29090	99628
113	29353	99390
114	29624	99176
115	29892	98954
116	30159	98725
117	30392	98388
118	30650	98131
119	30902	97856
120	31156	97588
121	31411	97324
122	31654	97022
123	31924	96802
124	32187	96562
125	32498	96464
126	32755	96203
127	33029	95992
128	33277	95704
129	33562	95522
130	33830	95294
131	34086	95029
132	34346	94776
133	34602	94511
134	34854	94235
135	35122	94004
136	35380	93746
137	35632	93471
138	35887	93205
139	36153	92965
140	36418	92724
141	36684	92486
142	36947	92238
143	37232	92047
144	37504	91821
145	37751	91534
146	38009	91273
147	38262	91001
148	38519	90739
149	38756	90431
150	39017	90179
151	39280	89930
152	39521	89633
153	39772	89358
154	40022	89081
155	40288	88840
156	40540	88569
157	40790	88294
158	41047	88032
159	41305	87773
160	41550	87488
161	41802	87216
162	42056	86950
163	42329	86723
164	42576	86443
165	42839	86194
166	43089	85921
167	43344	85656
168	43610	85415
169	43871	85161
170	44123	84891
171	44392	84654
172	44642	84382
173	44917	84156
174	45146	83843
175	45404	83585
176	45665	83333
177	45930	83088
178	46198	82846
179	46458	82592
180	46687	82284
181	46944	82023
182	47184	81735
183	47451	81493
184	47711	81238
185	47986	81009
186	48249	80759
187	48488	80469
188	48738	80199
189	48993	79935
