iter	Passed	Remaining
0	79	74951
1	96	45051
2	114	35530
3	130	30427
4	147	27491
5	164	25553
6	180	24022
7	198	23045
8	214	22091
9	230	21375
10	247	20864
11	264	20376
12	281	20064
13	298	19715
14	317	19530
15	334	19265
16	352	19100
17	369	18909
18	386	18713
19	404	18559
20	421	18390
21	437	18210
22	454	18092
23	471	17948
24	488	17850
25	506	17762
26	522	17615
27	539	17540
28	556	17452
29	574	17392
30	591	17317
31	608	17219
32	626	17171
33	642	17078
34	658	16999
35	676	16938
36	692	16872
37	710	16821
38	726	16757
39	743	16687
40	759	16623
41	775	16550
42	792	16491
43	810	16461
44	825	16386
45	840	16307
46	858	16275
47	875	16224
48	891	16166
49	908	16136
50	925	16095
51	942	16066
52	959	16028
53	976	15987
54	993	15952
55	1009	15904
56	1027	15881
57	1044	15842
58	1060	15803
59	1079	15791
60	1095	15745
61	1110	15697
62	1128	15668
63	1145	15636
64	1163	15629
65	1179	15578
66	1197	15563
67	1213	15525
68	1230	15502
69	1247	15467
70	1263	15429
71	1281	15417
72	1298	15391
73	1316	15376
74	1336	15379
75	1354	15362
76	1371	15332
77	1387	15299
78	1405	15282
79	1422	15255
80	1439	15231
81	1456	15202
82	1472	15172
83	1489	15144
84	1505	15112
85	1522	15083
86	1540	15065
87	1556	15032
88	1571	14994
89	1589	14974
90	1606	14948
91	1623	14929
92	1640	14907
93	1656	14877
94	1674	14861
95	1690	14829
96	1706	14796
97	1723	14773
98	1739	14742
99	1756	14717
100	1773	14693
101	1788	14660
102	1805	14637
103	1822	14617
104	1839	14595
105	1857	14577
106	1872	14540
107	1889	14519
108	1905	14493
109	1923	14477
110	1939	14450
111	1956	14431
112	1974	14413
113	1992	14401
114	2008	14376
115	2026	14358
116	2042	14334
117	2059	14311
118	2077	14297
119	2094	14274
120	2111	14259
121	2128	14233
122	2144	14207
123	2162	14195
124	2177	14165
125	2193	14135
126	2210	14115
127	2226	14087
128	2243	14067
129	2260	14047
130	2277	14027
131	2294	14011
132	2311	13993
133	2328	13972
134	2345	13950
135	2361	13927
136	2378	13905
137	2396	13890
